epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,535.878,0.52503,0.49519,0.89528,0.62913,0.44256,0.43774,0.2157,1.55571,1.65209,1.7953,0.0004358,0.0004358,0.0004358
81,551.52,0.48616,0.48581,0.88591,0.63856,0.46739,0.44865,0.21972,1.53287,1.59624,1.76055,0.000416,0.000416,0.000416
82,570.831,0.50808,0.4818,0.90016,0.61707,0.40217,0.43233,0.2196,1.5464,1.62308,1.74549,0.0003962,0.0003962,0.0003962
83,587.043,0.50592,0.49632,0.89058,0.58378,0.43478,0.43697,0.21408,1.49556,1.65031,1.70596,0.0003764,0.0003764,0.0003764
84,601.025,0.50929,0.49893,0.91716,0.67303,0.3913,0.4203,0.19896,1.47629,1.70938,1.69364,0.0003566,0.0003566,0.0003566
85,612.688,0.49468,0.48741,0.8945,0.6632,0.41304,0.42478,0.19823,1.49382,1.66576,1.70031,0.0003368,0.0003368,0.0003368
86,626.255,0.5052,0.4728,0.88841,0.6595,0.46739,0.45317,0.21193,1.45966,1.58128,1.71911,0.000317,0.000317,0.000317
87,639.943,0.48662,0.46037,0.88468,0.65498,0.47826,0.45272,0.21149,1.47212,1.60365,1.74372,0.0002972,0.0002972,0.0002972
88,655.634,0.48894,0.47577,0.89506,0.6686,0.43478,0.45051,0.21593,1.4713,1.71434,1.73586,0.0002774,0.0002774,0.0002774
89,671.37,0.47213,0.46635,0.88339,0.60344,0.44565,0.45111,0.20815,1.48728,1.83406,1.74034,0.0002576,0.0002576,0.0002576
90,687.917,0.50577,0.46577,0.88675,0.66476,0.40956,0.44798,0.2121,1.5192,2.07515,1.75061,0.0002378,0.0002378,0.0002378
91,769.986,0.43268,0.52912,0.84564,0.6353,0.46739,0.46051,0.21226,1.53861,2.0942,1.77297,0.000218,0.000218,0.000218
92,788.085,0.4478,0.50713,0.86639,0.62318,0.42391,0.43553,0.20693,1.59102,2.03405,1.8066,0.0001982,0.0001982,0.0001982
93,801.014,0.45049,0.4537,0.85267,0.64088,0.43478,0.42628,0.19359,1.59572,2.07721,1.8257,0.0001784,0.0001784,0.0001784
94,813.828,0.41615,0.41473,0.84393,0.59522,0.3587,0.34797,0.16771,1.58688,2.16694,1.82863,0.0001586,0.0001586,0.0001586
95,823.917,0.41761,0.43266,0.84419,0.60472,0.3587,0.34266,0.16534,1.59752,2.16076,1.81885,0.0001388,0.0001388,0.0001388
96,833.327,0.39621,0.40874,0.83796,0.65843,0.42391,0.39586,0.18349,1.632,2.06429,1.83927,0.000119,0.000119,0.000119
97,848.128,0.39054,0.40414,0.84047,0.66038,0.42391,0.41615,0.20196,1.65978,1.9113,1.86514,9.92e-05,9.92e-05,9.92e-05
98,865.177,0.38399,0.38715,0.83376,0.58786,0.44565,0.44755,0.21683,1.75844,1.71113,1.95086,7.94e-05,7.94e-05,7.94e-05
99,881.433,0.39283,0.37709,0.83689,0.61941,0.43478,0.46317,0.22332,1.75716,1.66795,1.9919,5.96e-05,5.96e-05,5.96e-05
100,894.949,0.39079,0.38494,0.8344,0.60275,0.45652,0.46545,0.22437,1.76598,1.63555,2.01565,3.98e-05,3.98e-05,3.98e-05
